scene_id,profile,camera_distance,camera_pitch,ambient_light,num_objects,num_visible_gt,match_type,iou,gt_class,gt_tier,gt_box_area,pred_class,pred_confidence,pred_box_area,best_iou_any_class,best_pred_class_at_overlap,distance_bin,lighting_bin,clutter_bin,failure_mode,cluster
scene_0000,steep,3.45,-63.83,0.758,4,4,fn,0.0,teddy bear,easy,356.67471680807927,,,,0.0011703673964626,umbrella,mid (3-5m),bright (>0.7),medium (4-6 obj),missed_detection,3.0
scene_0000,steep,3.45,-63.83,0.758,4,4,fn,0.0,duck,hard,291.8052223937691,,,,0.000957509187821,umbrella,mid (3-5m),bright (>0.7),medium (4-6 obj),missed_detection,3.0
scene_0000,steep,3.45,-63.83,0.758,4,4,fn,0.0,duck,hard,354.28672434352353,,,,0.0011625316054973,umbrella,mid (3-5m),bright (>0.7),medium (4-6 obj),missed_detection,3.0
scene_0000,steep,3.45,-63.83,0.758,4,4,fn,0.0,cup,easy,877.5002515674927,,,,0.3662293610947468,person,mid (3-5m),bright (>0.7),medium (4-6 obj),wrong_class,3.0
scene_0000,steep,3.45,-63.83,0.758,4,4,fp,0.0,,,,umbrella,0.2987852394580841,304754.4881086908,,,mid (3-5m),bright (>0.7),medium (4-6 obj),false_positive,2.0
scene_0000,steep,3.45,-63.83,0.758,4,4,fp,0.0,,,,person,0.0366705283522605,321.36635649204254,,,mid (3-5m),bright (>0.7),medium (4-6 obj),false_positive,2.0
scene_0001,baseline,2.639,-44.37,0.589,3,3,fn,0.0,cup,easy,2089.25196924367,,,,0.3844216869941375,kite,near (≤3m),normal (0.25-0.7),low (1-3 obj),wrong_class,3.0
scene_0001,baseline,2.639,-44.37,0.589,3,3,fn,0.0,domino,hard,21.719453022595903,,,,7.251098208435166e-05,umbrella,near (≤3m),normal (0.25-0.7),low (1-3 obj),missed_detection,3.0
scene_0001,baseline,2.639,-44.37,0.589,3,3,fn,0.0,duck,hard,888.4227856649222,,,,0.3756548041901755,kite,near (≤3m),normal (0.25-0.7),low (1-3 obj),wrong_class,3.0
scene_0001,baseline,2.639,-44.37,0.589,3,3,fp,0.0,,,,umbrella,0.1581910401582718,299533.2899688184,,,near (≤3m),normal (0.25-0.7),low (1-3 obj),false_positive,4.0
scene_0001,baseline,2.639,-44.37,0.589,3,3,fp,0.0,,,,kite,0.0405946150422096,803.1537665724754,,,near (≤3m),normal (0.25-0.7),low (1-3 obj),false_positive,4.0
scene_0001,baseline,2.639,-44.37,0.589,3,3,fp,0.0,,,,kite,0.0281273443251848,333.7402875870466,,,near (≤3m),normal (0.25-0.7),low (1-3 obj),false_positive,4.0
scene_0002,baseline,2.625,-23.96,0.58,2,2,fn,0.0,bottle,easy,1638.0298696233592,,,,0.6927350573655732,traffic light,near (≤3m),normal (0.25-0.7),low (1-3 obj),wrong_class,3.0
scene_0002,baseline,2.625,-23.96,0.58,2,2,fn,0.0,cube,hard,83364.13448592396,,,,0.6784969124286376,refrigerator,near (≤3m),normal (0.25-0.7),low (1-3 obj),wrong_class,3.0
scene_0002,baseline,2.625,-23.96,0.58,2,2,fp,0.0,,,,airplane,0.0949327424168586,193280.59260298312,,,near (≤3m),normal (0.25-0.7),low (1-3 obj),false_positive,4.0
scene_0002,baseline,2.625,-23.96,0.58,2,2,fp,0.0,,,,traffic light,0.0789397880434989,1216.433810338378,,,near (≤3m),normal (0.25-0.7),low (1-3 obj),false_positive,4.0
scene_0002,baseline,2.625,-23.96,0.58,2,2,fp,0.0,,,,refrigerator,0.0388809479773044,56562.30785598513,,,near (≤3m),normal (0.25-0.7),low (1-3 obj),false_positive,4.0
